# event_ticker=KXATPCHALLENGERMATCH-26APR28TOPKRU
# final_score=7-5 6-7(7) 6-2
# score_resolution=7-5 6-7 6-2
# match_winner=Martin Krumich
# fav_player=Martin Krumich
# dog_player=Marko ToPo
# kalshi_date=2026-04-28
timestamp,Marko ToPo,Martin Krumich
2026-04-28T00:33:00Z,,62.00
2026-04-28T02:09:00Z,40.00,62.00
2026-04-28T02:56:00Z,39.00,62.00
2026-04-28T05:00:00Z,39.00,62.00
2026-04-28T06:16:00Z,38.00,62.00
2026-04-28T10:14:00Z,41.00,62.00
2026-04-28T10:56:00Z,41.00,61.87
2026-04-28T11:07:00Z,43.74,61.87
2026-04-28T11:08:00Z,43.74,57.00
2026-04-28T11:09:00Z,43.00,57.00
2026-04-28T11:11:00Z,43.00,59.00
2026-04-28T11:13:00Z,40.00,59.00
2026-04-28T11:15:00Z,35.02,65.00
2026-04-28T11:16:00Z,37.00,63.00
2026-04-28T11:18:00Z,37.00,60.00
2026-04-28T11:19:00Z,42.00,58.50
2026-04-28T11:20:00Z,42.00,60.00
2026-04-28T11:23:00Z,36.87,66.00
2026-04-28T11:24:00Z,38.18,60.00
2026-04-28T11:28:00Z,51.18,48.29
2026-04-28T11:29:00Z,51.18,42.00
2026-04-28T11:33:00Z,51.18,55.00
2026-04-28T11:34:00Z,51.18,56.00
2026-04-28T11:35:00Z,44.10,56.00
2026-04-28T11:36:00Z,45.00,55.00
2026-04-28T11:38:00Z,37.24,62.00
2026-04-28T11:39:00Z,37.24,64.00
2026-04-28T11:40:00Z,37.24,71.61
2026-04-28T11:41:00Z,34.43,65.01
2026-04-28T11:42:00Z,40.53,59.39
2026-04-28T11:43:00Z,46.00,59.39
2026-04-28T11:46:00Z,46.00,61.00
2026-04-28T11:47:00Z,36.15,63.26
2026-04-28T11:48:00Z,31.50,68.70
2026-04-28T11:49:00Z,31.00,68.70
2026-04-28T11:50:00Z,27.00,75.96
2026-04-28T11:52:00Z,27.00,80.00
2026-04-28T11:53:00Z,16.00,84.00
2026-04-28T11:54:00Z,15.00,85.13
2026-04-28T11:55:00Z,15.00,85.37
2026-04-28T11:56:00Z,15.00,86.97
2026-04-28T11:57:00Z,15.00,90.10
2026-04-28T11:59:00Z,15.00,95.00
2026-04-28T12:00:00Z,6.00,93.00
2026-04-28T12:01:00Z,7.00,93.01
2026-04-28T12:02:00Z,7.00,93.01
2026-04-28T12:03:00Z,8.53,91.40
2026-04-28T12:04:00Z,6.00,93.33
2026-04-28T12:05:00Z,6.43,93.67
2026-04-28T12:06:00Z,9.00,93.00
2026-04-28T12:07:00Z,5.00,95.00
2026-04-28T12:08:00Z,5.00,95.00
2026-04-28T12:09:00Z,5.99,94.00
2026-04-28T12:11:00Z,4.00,96.00
2026-04-28T12:12:00Z,5.80,94.57
2026-04-28T12:13:00Z,7.00,94.57
2026-04-28T12:14:00Z,6.00,94.00
2026-04-28T12:15:00Z,9.47,92.44
2026-04-28T12:16:00Z,11.00,89.19
2026-04-28T12:17:00Z,13.65,86.27
2026-04-28T12:18:00Z,15.98,85.36
2026-04-28T12:19:00Z,17.86,82.09
2026-04-28T12:20:00Z,19.75,80.50
2026-04-28T12:21:00Z,21.00,80.50
2026-04-28T12:22:00Z,20.21,80.00
2026-04-28T12:23:00Z,17.76,81.38
2026-04-28T12:24:00Z,16.16,83.00
2026-04-28T12:25:00Z,18.66,81.03
2026-04-28T12:26:00Z,20.21,79.71
2026-04-28T12:27:00Z,22.00,78.95
2026-04-28T12:28:00Z,22.04,78.73
2026-04-28T12:29:00Z,21.68,78.80
2026-04-28T12:30:00Z,23.93,71.33
2026-04-28T12:31:00Z,25.16,74.58
2026-04-28T12:32:00Z,20.00,80.05
2026-04-28T12:33:00Z,20.11,80.63
2026-04-28T12:34:00Z,22.00,79.93
2026-04-28T12:35:00Z,25.00,75.01
2026-04-28T12:36:00Z,25.93,75.63
2026-04-28T12:37:00Z,21.88,77.61
2026-04-28T12:38:00Z,20.77,80.99
2026-04-28T12:39:00Z,23.75,78.99
2026-04-28T12:40:00Z,25.09,77.02
2026-04-28T12:41:00Z,25.03,77.00
