# event_ticker=KXATPCHALLENGERMATCH-26MAR19HUEHER
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Marc-Andrea Huesler
# fav_player=Alex Hernandez
# dog_player=Marc-Andrea Huesler
# kalshi_date=2026-03-19
timestamp,Alex Hernandez,Marc-Andrea Huesler
2026-03-19T10:38:00Z,20.00,
2026-03-19T13:37:00Z,20.00,83.00
2026-03-19T14:27:00Z,20.00,81.00
2026-03-19T14:52:00Z,20.00,81.00
2026-03-19T16:32:00Z,20.00,81.00
2026-03-19T17:49:00Z,20.00,81.00
2026-03-19T18:13:00Z,20.00,81.00
2026-03-19T19:12:00Z,20.00,82.00
2026-03-19T19:42:00Z,20.00,82.00
2026-03-19T19:50:00Z,20.00,82.00
2026-03-19T20:05:00Z,20.00,82.00
2026-03-19T20:41:00Z,20.00,79.58
2026-03-19T21:33:00Z,20.00,80.00
2026-03-19T22:05:00Z,20.00,80.00
2026-03-19T22:06:00Z,22.60,80.00
2026-03-19T22:07:00Z,22.00,80.00
2026-03-19T22:09:00Z,21.00,80.00
2026-03-19T22:10:00Z,21.00,80.00
2026-03-19T22:11:00Z,23.85,80.00
2026-03-19T22:12:00Z,20.00,80.00
2026-03-19T22:13:00Z,17.92,82.67
2026-03-19T22:14:00Z,17.92,90.14
2026-03-19T22:15:00Z,9.00,91.00
2026-03-19T22:16:00Z,9.00,92.00
2026-03-19T22:17:00Z,8.00,92.00
2026-03-19T22:18:00Z,7.00,93.39
2026-03-19T22:19:00Z,9.00,92.00
2026-03-19T22:20:00Z,11.00,91.05
2026-03-19T22:22:00Z,7.00,91.05
2026-03-19T22:23:00Z,7.00,91.05
2026-03-19T22:25:00Z,9.00,93.01
2026-03-19T22:26:00Z,11.39,90.36
2026-03-19T22:27:00Z,11.77,90.36
2026-03-19T22:28:00Z,10.49,90.36
2026-03-19T22:29:00Z,9.00,90.36
2026-03-19T22:30:00Z,12.97,92.00
2026-03-19T22:31:00Z,9.00,93.00
2026-03-19T22:32:00Z,8.23,91.00
2026-03-19T22:33:00Z,9.00,92.00
2026-03-19T22:34:00Z,8.00,93.00
2026-03-19T22:35:00Z,8.00,93.00
2026-03-19T22:36:00Z,8.00,93.67
2026-03-19T22:37:00Z,8.00,92.00
2026-03-19T22:38:00Z,8.50,92.00
2026-03-19T22:39:00Z,8.65,92.00
2026-03-19T22:40:00Z,8.65,91.00
2026-03-19T22:41:00Z,9.00,92.00
2026-03-19T22:42:00Z,7.00,93.00
2026-03-19T22:43:00Z,8.15,92.88
2026-03-19T22:44:00Z,5.47,95.94
2026-03-19T22:45:00Z,5.98,95.01
2026-03-19T22:46:00Z,7.40,94.36
2026-03-19T22:47:00Z,3.13,96.94
2026-03-19T22:48:00Z,2.09,98.00
2026-03-19T22:49:00Z,1.71,98.06
2026-03-19T22:50:00Z,2.02,98.71
2026-03-19T22:51:00Z,2.00,99.00
2026-03-19T22:52:00Z,1.02,99.00
2026-03-19T22:53:00Z,2.22,99.00
2026-03-19T22:54:00Z,2.00,99.00
2026-03-19T22:56:00Z,1.00,99.00
2026-03-19T22:57:00Z,1.00,99.00
2026-03-19T22:58:00Z,2.01,99.00
2026-03-19T22:59:00Z,1.00,99.00
2026-03-19T23:00:00Z,1.00,99.00
2026-03-19T23:01:00Z,1.00,99.00
2026-03-19T23:02:00Z,1.00,99.00
2026-03-19T23:03:00Z,1.00,99.00
2026-03-19T23:05:00Z,1.00,99.00
