# event_ticker=KXATPMATCH-25OCT01WALBEL
# final_score=7-6(6) 6-1
# score_resolution=6-7 1-6
# match_winner=Mattia Bellucci
# fav_player=Adam Walton
# dog_player=Mattia Bellucci
# kalshi_date=2025-10-01
timestamp,Adam Walton,Mattia Bellucci
2025-09-30T18:38:00Z,90.00,90.00
2025-09-30T18:55:00Z,90.00,56.00
2025-09-30T19:32:00Z,46.00,56.00
2025-09-30T20:31:00Z,46.00,56.00
2025-09-30T20:55:00Z,46.00,56.00
2025-09-30T21:02:00Z,46.00,56.00
2025-09-30T21:05:00Z,46.00,56.00
2025-09-30T21:19:00Z,46.00,56.00
2025-09-30T21:40:00Z,46.00,55.00
2025-09-30T21:46:00Z,46.00,54.00
2025-09-30T22:18:00Z,46.00,52.00
2025-09-30T23:15:00Z,46.00,52.00
2025-09-30T23:26:00Z,46.00,52.00
2025-10-01T00:00:00Z,49.00,52.00
2025-10-01T00:22:00Z,49.00,52.00
2025-10-01T00:27:00Z,49.00,52.00
2025-10-01T00:29:00Z,49.00,52.00
2025-10-01T00:44:00Z,49.00,52.00
2025-10-01T00:52:00Z,49.00,52.00
2025-10-01T01:16:00Z,49.00,52.00
2025-10-01T01:17:00Z,49.00,52.00
2025-10-01T01:21:00Z,47.43,52.00
2025-10-01T01:32:00Z,47.43,52.00
2025-10-01T01:35:00Z,47.43,52.00
2025-10-01T01:54:00Z,47.43,52.00
2025-10-01T02:15:00Z,47.43,52.00
2025-10-01T02:25:00Z,49.00,52.00
2025-10-01T02:30:00Z,49.00,52.00
2025-10-01T02:45:00Z,49.00,52.00
2025-10-01T02:47:00Z,49.00,52.00
2025-10-01T02:48:00Z,49.00,52.46
2025-10-01T02:49:00Z,49.00,53.00
2025-10-01T02:50:00Z,49.00,53.00
2025-10-01T02:54:00Z,49.00,53.00
2025-10-01T02:55:00Z,49.00,52.67
2025-10-01T02:59:00Z,49.00,53.00
2025-10-01T03:03:00Z,49.00,53.00
2025-10-01T03:07:00Z,49.00,53.00
2025-10-01T03:09:00Z,49.00,53.00
2025-10-01T03:16:00Z,49.00,53.00
2025-10-01T03:21:00Z,49.00,53.00
2025-10-01T03:22:00Z,49.00,53.00
2025-10-01T03:23:00Z,49.00,53.00
