# event_ticker=KXATPCHALLENGERMATCH-26MAR16BUEDID
# final_score=6-2 7-5
# score_resolution=2-6 5-7
# match_winner=Gonzalo Bueno
# fav_player=Joao Pedro Didoni Bonini
# dog_player=Gonzalo Bueno
# kalshi_date=2026-03-16
timestamp,Joao Pedro Didoni Bonini,Gonzalo Bueno
2026-03-17T13:42:00Z,,95.00
2026-03-17T13:52:00Z,,95.00
2026-03-17T14:02:00Z,,95.00
2026-03-17T14:12:00Z,,95.00
2026-03-17T14:15:00Z,7.00,95.00
2026-03-17T14:17:00Z,7.00,95.00
2026-03-17T14:19:00Z,7.00,95.00
2026-03-17T14:23:00Z,6.00,95.00
2026-03-17T14:56:00Z,7.00,95.00
2026-03-17T14:57:00Z,7.00,94.00
2026-03-17T17:02:00Z,7.00,94.00
2026-03-17T17:03:00Z,7.00,94.00
2026-03-17T17:05:00Z,7.00,93.00
2026-03-17T17:13:00Z,8.00,93.00
2026-03-17T17:45:00Z,8.00,93.00
2026-03-17T18:44:00Z,8.00,93.00
2026-03-17T19:15:00Z,8.00,93.00
2026-03-17T19:21:00Z,8.00,93.00
2026-03-17T19:25:00Z,8.00,93.00
2026-03-17T19:36:00Z,8.00,94.00
2026-03-17T19:43:00Z,8.00,93.00
2026-03-17T19:44:00Z,8.00,94.00
2026-03-17T19:46:00Z,8.00,95.00
2026-03-17T19:51:00Z,8.00,94.00
2026-03-17T20:02:00Z,8.00,94.00
2026-03-17T20:15:00Z,7.00,94.00
2026-03-17T20:19:00Z,7.00,94.00
2026-03-17T20:21:00Z,7.00,94.00
2026-03-17T20:25:00Z,7.00,94.00
2026-03-17T20:37:00Z,7.00,94.00
2026-03-17T20:40:00Z,7.37,94.00
2026-03-17T20:42:00Z,8.00,94.00
2026-03-17T20:48:00Z,8.00,94.00
2026-03-17T20:50:00Z,8.00,94.00
2026-03-17T20:54:00Z,8.00,93.00
2026-03-17T21:00:00Z,8.00,93.00
2026-03-17T21:04:00Z,8.00,93.00
2026-03-17T21:06:00Z,8.00,91.49
2026-03-17T21:08:00Z,8.00,91.49
2026-03-17T21:11:00Z,8.95,91.49
2026-03-17T21:14:00Z,8.95,93.00
2026-03-17T21:16:00Z,9.00,93.00
2026-03-17T21:48:00Z,9.00,93.00
2026-03-17T21:51:00Z,9.00,93.00
2026-03-17T21:52:00Z,9.00,93.00
2026-03-17T22:07:00Z,9.00,91.00
2026-03-17T22:31:00Z,9.00,93.00
2026-03-17T22:37:00Z,9.00,93.00
2026-03-17T22:44:00Z,8.00,93.00
2026-03-17T23:07:00Z,8.00,93.00
2026-03-17T23:40:00Z,9.83,93.00
2026-03-17T23:49:00Z,10.00,93.00
2026-03-18T00:02:00Z,10.00,93.00
2026-03-18T00:06:00Z,10.00,93.00
2026-03-18T00:17:00Z,9.00,93.00
2026-03-18T00:23:00Z,9.00,94.00
2026-03-18T00:24:00Z,9.00,94.00
2026-03-18T00:26:00Z,9.00,94.00
2026-03-18T00:28:00Z,9.00,94.00
2026-03-18T00:29:00Z,9.00,94.00
