# event_ticker=KXATPCHALLENGERMATCH-26MAY19HONSIN
# final_score=6-4 6-1
# match_winner=Naoya Honda
# fav_player=Naoya Honda
# dog_player=Nitin Kumar Sinha
# kalshi_date=2026-05-19
timestamp,Naoya Honda,Nitin Kumar Sinha
2026-05-19T12:06:00Z,,18.00
2026-05-19T12:10:00Z,,18.08
2026-05-19T12:14:00Z,,18.04
2026-05-19T12:21:00Z,,10.00
2026-05-19T12:34:00Z,88.00,10.00
2026-05-19T12:35:00Z,88.00,15.00
2026-05-19T12:36:00Z,88.00,16.00
2026-05-19T12:37:00Z,85.00,16.00
2026-05-19T12:39:00Z,84.00,16.00
2026-05-19T12:40:00Z,87.00,16.00
2026-05-19T12:43:00Z,93.00,16.00
2026-05-19T12:44:00Z,93.00,16.00
2026-05-19T12:45:00Z,91.00,16.00
2026-05-19T12:49:00Z,92.00,16.00
2026-05-19T12:50:00Z,88.78,17.24
2026-05-19T12:51:00Z,88.04,19.93
2026-05-19T12:52:00Z,90.00,19.93
2026-05-19T12:57:00Z,92.00,19.93
2026-05-19T13:02:00Z,91.00,19.93
2026-05-19T13:03:00Z,92.02,10.24
2026-05-19T13:04:00Z,95.98,4.03
2026-05-19T13:05:00Z,95.00,5.00
2026-05-19T13:06:00Z,96.00,7.00
2026-05-19T13:07:00Z,96.00,4.00
2026-05-19T13:08:00Z,94.97,12.51
2026-05-19T13:09:00Z,97.00,5.00
2026-05-19T13:10:00Z,97.00,4.00
2026-05-19T13:11:00Z,97.00,2.00
2026-05-19T13:13:00Z,96.00,4.65
2026-05-19T13:14:00Z,96.00,4.65
2026-05-19T13:15:00Z,96.00,4.63
2026-05-19T13:16:00Z,93.75,6.93
2026-05-19T13:17:00Z,93.01,7.00
2026-05-19T13:18:00Z,96.00,5.00
2026-05-19T13:20:00Z,97.00,5.00
2026-05-19T13:21:00Z,98.30,1.09
2026-05-19T13:24:00Z,98.30,1.00
2026-05-19T13:27:00Z,98.30,1.00
