# event_ticker=KXATPCHALLENGERMATCH-26JUN03WENLAJ
# final_score=6-4 6-1
# match_winner=Mark Lajal
# fav_player=Mark Lajal
# dog_player=Harry Wendelken
# kalshi_date=2026-06-03
timestamp,Harry Wendelken,Mark Lajal
2026-06-04T06:07:00Z,,66.00
2026-06-04T06:17:00Z,,67.00
2026-06-04T06:18:00Z,,67.00
2026-06-04T06:55:00Z,36.00,67.00
2026-06-04T09:43:00Z,36.00,67.00
2026-06-04T11:19:00Z,36.00,67.00
2026-06-04T11:41:00Z,36.00,67.00
2026-06-04T11:59:00Z,35.00,67.00
2026-06-04T12:21:00Z,35.00,67.00
2026-06-04T12:22:00Z,35.00,67.00
2026-06-04T12:59:00Z,35.00,67.00
2026-06-04T13:29:00Z,35.00,66.00
2026-06-04T13:48:00Z,35.00,66.00
2026-06-04T13:53:00Z,34.00,66.00
2026-06-04T13:55:00Z,34.00,66.00
2026-06-04T13:58:00Z,34.00,66.00
2026-06-04T14:04:00Z,36.00,66.00
2026-06-04T14:08:00Z,36.00,66.00
2026-06-04T14:24:00Z,36.00,66.88
2026-06-04T14:33:00Z,35.00,66.88
2026-06-04T14:38:00Z,35.00,67.00
2026-06-04T14:49:00Z,35.00,67.00
2026-06-04T14:50:00Z,35.00,67.00
2026-06-04T14:51:00Z,35.00,67.00
2026-06-04T14:52:00Z,35.00,67.00
2026-06-04T14:56:00Z,35.00,67.00
2026-06-04T15:01:00Z,35.00,67.00
2026-06-04T15:08:00Z,35.00,65.02
2026-06-04T15:09:00Z,35.00,67.00
2026-06-04T15:30:00Z,35.00,67.00
2026-06-04T15:36:00Z,35.00,67.00
2026-06-04T15:46:00Z,35.00,67.00
2026-06-04T15:48:00Z,35.00,67.00
2026-06-04T15:49:00Z,35.00,67.00
2026-06-04T15:50:00Z,35.00,67.00
2026-06-04T15:51:00Z,35.00,67.00
2026-06-04T15:59:00Z,35.00,67.00
2026-06-04T16:00:00Z,35.00,67.00
2026-06-04T16:03:00Z,35.00,67.62
2026-06-04T16:08:00Z,35.00,67.00
2026-06-04T16:11:00Z,35.00,67.00
2026-06-04T16:16:00Z,35.00,65.00
