# event_ticker=KXATPMATCH-25OCT24SINBUB
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Jannik Sinner
# fav_player=Alexander Bublik
# dog_player=Jannik Sinner
# kalshi_date=2025-10-24
timestamp,Alexander Bublik,Jannik Sinner
2025-10-24T04:07:00Z,,93.00
2025-10-24T04:08:00Z,8.00,93.00
2025-10-24T04:14:00Z,8.00,93.00
2025-10-24T04:18:00Z,7.39,93.00
2025-10-24T04:26:00Z,8.00,93.00
2025-10-24T04:34:00Z,8.00,93.00
2025-10-24T04:42:00Z,8.00,93.00
2025-10-24T04:45:00Z,8.00,93.00
2025-10-24T04:47:00Z,8.00,93.00
2025-10-24T04:49:00Z,8.00,93.00
2025-10-24T04:51:00Z,8.00,93.00
2025-10-24T04:55:00Z,8.00,93.00
2025-10-24T04:58:00Z,8.00,93.00
2025-10-24T04:59:00Z,8.00,93.00
2025-10-24T05:00:00Z,8.00,93.00
2025-10-24T05:15:00Z,8.00,93.00
2025-10-24T05:21:00Z,8.00,93.00
2025-10-24T05:22:00Z,8.00,93.00
2025-10-24T05:23:00Z,8.00,93.00
2025-10-24T05:24:00Z,8.00,93.00
2025-10-24T05:26:00Z,8.00,93.00
2025-10-24T05:27:00Z,8.00,93.00
2025-10-24T05:28:00Z,8.00,93.00
2025-10-24T05:30:00Z,8.00,93.00
2025-10-24T05:34:00Z,8.00,93.00
2025-10-24T05:43:00Z,8.00,93.00
2025-10-24T05:45:00Z,8.00,93.00
2025-10-24T05:46:00Z,8.00,93.00
2025-10-24T05:48:00Z,8.00,93.00
2025-10-24T05:49:00Z,8.00,93.00
2025-10-24T05:54:00Z,8.00,93.00
2025-10-24T05:56:00Z,8.00,93.00
2025-10-24T06:05:00Z,8.00,93.00
2025-10-24T06:10:00Z,8.00,93.00
2025-10-24T06:17:00Z,8.00,93.00
2025-10-24T06:23:00Z,8.00,92.00
2025-10-24T06:26:00Z,8.00,92.00
2025-10-24T06:28:00Z,8.00,92.00
2025-10-24T06:41:00Z,8.00,92.00
2025-10-24T06:44:00Z,8.00,92.00
2025-10-24T06:46:00Z,8.00,93.00
2025-10-24T06:50:00Z,8.00,93.00
2025-10-24T06:51:00Z,8.00,93.00
2025-10-24T06:53:00Z,8.10,93.00
2025-10-24T06:54:00Z,8.62,93.00
2025-10-24T06:55:00Z,7.00,93.00
2025-10-24T06:57:00Z,9.00,93.00
2025-10-24T06:58:00Z,9.00,93.00
2025-10-24T06:59:00Z,9.00,93.00
2025-10-24T07:00:00Z,9.00,93.00
2025-10-24T07:16:00Z,9.00,93.00
2025-10-24T07:17:00Z,9.00,93.00
2025-10-24T07:19:00Z,9.00,92.00
2025-10-24T07:20:00Z,9.00,92.00
2025-10-24T07:22:00Z,9.00,92.00
2025-10-24T07:38:00Z,9.00,92.00
2025-10-24T07:39:00Z,9.00,92.00
2025-10-24T07:43:00Z,7.00,92.00
2025-10-24T07:44:00Z,9.00,92.00
2025-10-24T07:45:00Z,9.00,92.00
2025-10-24T07:57:00Z,9.00,91.00
2025-10-24T08:08:00Z,9.00,91.52
2025-10-24T08:19:00Z,9.00,91.52
2025-10-24T08:33:00Z,9.00,91.52
2025-10-24T08:53:00Z,9.00,91.52
2025-10-24T08:57:00Z,9.00,91.52
2025-10-24T09:04:00Z,9.00,91.52
2025-10-24T09:30:00Z,9.00,91.52
2025-10-24T09:31:00Z,9.00,91.52
2025-10-24T09:32:00Z,9.00,91.52
2025-10-24T09:46:00Z,9.00,91.52
2025-10-24T09:51:00Z,9.00,91.52
2025-10-24T09:53:00Z,9.00,92.00
2025-10-24T09:57:00Z,9.00,92.00
2025-10-24T10:02:00Z,9.00,92.00
2025-10-24T10:04:00Z,8.00,92.00
2025-10-24T10:26:00Z,8.00,92.00
2025-10-24T10:30:00Z,8.00,92.00
2025-10-24T10:41:00Z,9.00,92.00
2025-10-24T10:50:00Z,9.00,92.00
2025-10-24T10:53:00Z,9.00,92.00
2025-10-24T11:00:00Z,9.00,92.00
2025-10-24T11:01:00Z,9.00,92.00
2025-10-24T11:17:00Z,9.00,92.00
2025-10-24T11:18:00Z,9.00,92.00
2025-10-24T11:19:00Z,9.00,92.00
2025-10-24T11:22:00Z,9.00,92.00
2025-10-24T11:24:00Z,9.00,92.00
2025-10-24T11:25:00Z,9.00,92.00
2025-10-24T11:27:00Z,9.00,92.00
2025-10-24T11:29:00Z,9.00,92.00
2025-10-24T11:31:00Z,9.00,92.00
2025-10-24T11:34:00Z,9.00,92.00
2025-10-24T11:35:00Z,9.00,92.00
2025-10-24T11:36:00Z,9.00,92.00
2025-10-24T11:39:00Z,9.00,92.00
2025-10-24T11:41:00Z,9.00,92.00
2025-10-24T11:44:00Z,9.00,92.00
2025-10-24T11:49:00Z,9.00,92.00
2025-10-24T11:54:00Z,9.00,92.00
2025-10-24T11:57:00Z,9.00,92.00
2025-10-24T11:59:00Z,9.00,92.00
2025-10-24T12:03:00Z,9.00,92.00
2025-10-24T12:08:00Z,9.00,92.00
2025-10-24T12:09:00Z,9.00,92.00
2025-10-24T12:12:00Z,9.00,92.00
2025-10-24T12:16:00Z,8.00,92.00
2025-10-24T12:17:00Z,9.00,92.00
2025-10-24T12:26:00Z,9.00,92.00
2025-10-24T12:27:00Z,9.00,92.00
2025-10-24T12:34:00Z,9.00,92.00
2025-10-24T12:38:00Z,9.00,92.00
2025-10-24T12:42:00Z,9.00,92.00
2025-10-24T12:43:00Z,9.00,92.00
2025-10-24T12:52:00Z,9.00,92.00
2025-10-24T12:53:00Z,9.00,92.00
