# event_ticker=KXATPMATCH-25OCT17STRMOU
# final_score=6-4 7-5
# match_winner=Corentin Moutet
# fav_player=Corentin Moutet
# dog_player=Jan-Lennard Struff
# kalshi_date=2025-10-17
timestamp,Corentin Moutet,Jan-Lennard Struff
2025-10-17T04:16:00Z,,46.00
2025-10-17T04:27:00Z,,46.00
2025-10-17T04:31:00Z,55.00,46.00
2025-10-17T04:37:00Z,55.00,46.00
2025-10-17T04:40:00Z,55.00,46.00
2025-10-17T04:44:00Z,55.00,46.00
2025-10-17T04:48:00Z,55.00,46.00
2025-10-17T04:51:00Z,55.00,46.00
2025-10-17T04:59:00Z,55.00,46.00
2025-10-17T05:01:00Z,55.00,46.00
2025-10-17T05:10:00Z,55.00,46.00
2025-10-17T05:39:00Z,55.00,45.00
2025-10-17T05:40:00Z,55.00,45.00
2025-10-17T05:42:00Z,55.00,45.70
2025-10-17T06:00:00Z,55.00,46.00
2025-10-17T06:02:00Z,55.00,46.00
2025-10-17T06:06:00Z,55.00,46.00
2025-10-17T06:27:00Z,55.00,46.00
2025-10-17T06:46:00Z,55.00,46.00
2025-10-17T06:58:00Z,55.00,46.00
2025-10-17T07:41:00Z,55.00,45.00
2025-10-17T07:53:00Z,55.00,45.17
2025-10-17T08:12:00Z,55.00,45.00
2025-10-17T08:24:00Z,54.00,46.00
2025-10-17T08:39:00Z,54.00,46.00
2025-10-17T08:42:00Z,54.00,46.00
2025-10-17T08:52:00Z,54.00,47.00
2025-10-17T08:55:00Z,54.00,45.00
2025-10-17T09:04:00Z,57.00,45.00
2025-10-17T09:15:00Z,57.00,44.00
2025-10-17T09:29:00Z,57.00,44.00
2025-10-17T10:13:00Z,57.00,44.00
2025-10-17T10:28:00Z,58.00,44.00
2025-10-17T10:36:00Z,58.00,44.00
2025-10-17T10:45:00Z,58.00,44.00
2025-10-17T11:11:00Z,58.00,42.00
2025-10-17T11:17:00Z,57.00,42.00
2025-10-17T11:20:00Z,57.00,42.00
2025-10-17T11:29:00Z,57.00,42.00
2025-10-17T11:30:00Z,57.00,44.00
2025-10-17T11:32:00Z,57.00,44.00
2025-10-17T11:34:00Z,57.77,43.00
2025-10-17T11:38:00Z,58.00,43.00
2025-10-17T11:41:00Z,58.00,43.00
2025-10-17T11:42:00Z,58.00,44.00
2025-10-17T11:45:00Z,58.00,44.00
2025-10-17T11:46:00Z,58.00,44.00
2025-10-17T11:49:00Z,58.00,44.00
