# event_ticker=KXATPCHALLENGERMATCH-26MAY06ZANKIC
# final_score=6-0 6-1
# match_winner=Nicolas Kicker
# fav_player=Nicolas Kicker
# dog_player=Nicolas Zanellato
# kalshi_date=2026-05-06
timestamp,Nicolas Zanellato,Nicolas Kicker
2026-05-06T01:51:00Z,80.00,
2026-05-06T03:18:00Z,80.00,
2026-05-06T03:35:00Z,80.00,
2026-05-06T03:37:00Z,80.00,56.00
2026-05-06T03:38:00Z,80.00,80.00
2026-05-06T04:00:00Z,45.00,80.00
2026-05-06T04:05:00Z,51.27,65.00
2026-05-06T04:24:00Z,51.27,70.19
2026-05-06T04:59:00Z,36.00,70.19
2026-05-06T05:50:00Z,29.00,70.19
2026-05-06T06:16:00Z,25.00,70.19
2026-05-06T06:39:00Z,25.00,70.19
2026-05-06T06:41:00Z,28.00,70.19
2026-05-06T07:34:00Z,27.00,70.19
2026-05-06T08:00:00Z,27.00,72.01
2026-05-06T09:20:00Z,27.00,76.00
2026-05-06T10:31:00Z,25.00,76.00
2026-05-06T12:32:00Z,28.00,76.00
2026-05-06T12:41:00Z,28.00,74.00
2026-05-06T12:58:00Z,28.00,74.00
2026-05-06T13:21:00Z,28.00,74.00
2026-05-06T13:26:00Z,29.00,74.00
2026-05-06T13:30:00Z,29.00,74.00
2026-05-06T13:31:00Z,29.00,74.00
2026-05-06T13:32:00Z,28.00,74.00
2026-05-06T13:36:00Z,28.00,73.09
2026-05-06T13:38:00Z,27.82,73.09
2026-05-06T13:40:00Z,28.00,73.09
2026-05-06T13:41:00Z,28.00,74.00
2026-05-06T13:42:00Z,29.00,72.38
2026-05-06T13:43:00Z,31.00,72.38
2026-05-06T13:45:00Z,26.00,72.38
2026-05-06T13:46:00Z,25.00,75.00
2026-05-06T13:47:00Z,22.86,76.93
2026-05-06T13:48:00Z,22.57,77.56
2026-05-06T13:49:00Z,20.00,80.00
2026-05-06T13:50:00Z,14.26,85.00
2026-05-06T13:51:00Z,14.00,86.01
2026-05-06T13:53:00Z,12.08,88.00
2026-05-06T13:54:00Z,12.00,88.00
2026-05-06T13:55:00Z,12.00,90.00
2026-05-06T13:56:00Z,12.00,92.00
2026-05-06T13:57:00Z,8.00,93.00
2026-05-06T13:58:00Z,8.00,92.18
2026-05-06T13:59:00Z,7.00,94.00
2026-05-06T14:00:00Z,7.00,94.00
2026-05-06T14:01:00Z,6.00,94.99
2026-05-06T14:02:00Z,5.00,96.00
2026-05-06T14:03:00Z,4.00,96.00
2026-05-06T14:04:00Z,5.00,96.00
2026-05-06T14:05:00Z,5.00,96.00
2026-05-06T14:06:00Z,5.00,96.00
2026-05-06T14:07:00Z,5.00,95.00
2026-05-06T14:08:00Z,5.00,96.00
2026-05-06T14:09:00Z,3.95,97.00
2026-05-06T14:10:00Z,4.00,97.00
2026-05-06T14:11:00Z,3.00,97.00
2026-05-06T14:12:00Z,3.00,97.00
2026-05-06T14:14:00Z,1.83,98.00
2026-05-06T14:15:00Z,1.09,99.00
2026-05-06T14:16:00Z,1.00,99.00
2026-05-06T14:17:00Z,1.00,99.00
2026-05-06T14:19:00Z,1.00,99.00
2026-05-06T14:20:00Z,1.00,99.00
2026-05-06T14:21:00Z,1.00,99.00
2026-05-06T14:25:00Z,1.00,99.00
2026-05-06T14:31:00Z,1.00,99.00
2026-05-06T14:37:00Z,1.00,99.00
2026-05-06T14:39:00Z,1.00,99.00
