# event_ticker=KXATPCHALLENGERMATCH-26APR28SAIMRV
# final_score=7-6(3) 6-3
# score_resolution=6-7 3-6
# match_winner=Nikolas Sanchez Izquierdo
# fav_player=Maxim Mrva
# dog_player=Nikolas Sanchez Izquierdo
# kalshi_date=2026-04-28
timestamp,Nikolas Sanchez Izquierdo,Maxim Mrva
2026-04-27T22:19:00Z,50.00,
2026-04-28T02:10:00Z,48.00,
2026-04-28T03:01:00Z,48.00,54.00
2026-04-28T04:41:00Z,49.00,54.00
2026-04-28T05:00:00Z,49.00,54.00
2026-04-28T05:53:00Z,49.00,54.00
2026-04-28T08:23:00Z,49.00,54.00
2026-04-28T08:30:00Z,47.00,54.00
2026-04-28T08:31:00Z,47.00,54.00
2026-04-28T08:37:00Z,44.00,54.00
2026-04-28T08:42:00Z,40.00,54.00
2026-04-28T08:44:00Z,40.00,65.00
2026-04-28T08:48:00Z,49.00,65.00
2026-04-28T08:49:00Z,49.00,53.00
2026-04-28T08:51:00Z,47.95,55.36
2026-04-28T08:52:00Z,41.00,59.00
2026-04-28T08:53:00Z,41.00,62.00
2026-04-28T08:54:00Z,43.00,62.00
2026-04-28T08:55:00Z,43.00,60.00
2026-04-28T08:57:00Z,43.59,60.00
2026-04-28T08:58:00Z,40.00,60.00
2026-04-28T09:00:00Z,38.86,61.00
2026-04-28T09:01:00Z,42.00,57.00
2026-04-28T09:03:00Z,42.00,63.00
2026-04-28T09:04:00Z,42.00,63.00
2026-04-28T09:05:00Z,36.28,63.00
2026-04-28T09:07:00Z,30.00,63.00
2026-04-28T09:08:00Z,24.00,63.00
2026-04-28T09:09:00Z,25.97,74.00
2026-04-28T09:10:00Z,30.00,70.14
2026-04-28T09:11:00Z,27.02,72.08
2026-04-28T09:12:00Z,31.13,68.05
2026-04-28T09:13:00Z,36.00,64.29
2026-04-28T09:14:00Z,33.06,65.00
2026-04-28T09:15:00Z,29.00,65.00
2026-04-28T09:16:00Z,29.00,71.79
2026-04-28T09:17:00Z,26.99,72.82
2026-04-28T09:18:00Z,26.99,74.00
2026-04-28T09:19:00Z,26.99,74.00
2026-04-28T09:20:00Z,30.11,70.00
2026-04-28T09:22:00Z,30.11,64.00
2026-04-28T09:23:00Z,37.42,64.00
2026-04-28T09:24:00Z,42.00,58.00
2026-04-28T09:25:00Z,44.56,59.00
2026-04-28T09:26:00Z,46.78,54.00
2026-04-28T09:27:00Z,51.99,49.00
2026-04-28T09:28:00Z,47.27,52.01
2026-04-28T09:29:00Z,48.57,52.86
2026-04-28T09:30:00Z,51.22,47.76
2026-04-28T09:31:00Z,55.58,44.00
2026-04-28T09:32:00Z,62.47,34.59
2026-04-28T09:33:00Z,65.84,36.00
2026-04-28T09:34:00Z,61.63,39.79
2026-04-28T09:35:00Z,61.91,37.98
2026-04-28T09:36:00Z,61.90,38.31
2026-04-28T09:37:00Z,50.00,49.32
2026-04-28T09:38:00Z,52.65,47.59
2026-04-28T09:39:00Z,52.65,37.85
2026-04-28T09:40:00Z,67.41,30.87
2026-04-28T09:41:00Z,65.33,34.87
2026-04-28T09:42:00Z,64.00,35.93
2026-04-28T09:43:00Z,73.00,35.93
2026-04-28T09:44:00Z,72.00,35.93
2026-04-28T09:45:00Z,73.00,27.00
2026-04-28T09:46:00Z,73.19,27.00
2026-04-28T09:47:00Z,73.19,27.00
2026-04-28T09:48:00Z,75.00,25.00
2026-04-28T09:49:00Z,70.83,29.76
2026-04-28T09:50:00Z,68.00,31.39
2026-04-28T09:51:00Z,66.00,37.37
2026-04-28T09:52:00Z,58.00,39.89
2026-04-28T09:53:00Z,54.53,44.85
2026-04-28T09:54:00Z,56.00,45.83
2026-04-28T09:55:00Z,57.00,44.00
2026-04-28T09:56:00Z,60.03,44.74
2026-04-28T09:57:00Z,61.00,40.00
2026-04-28T09:58:00Z,61.00,40.63
2026-04-28T09:59:00Z,70.47,32.93
2026-04-28T10:00:00Z,72.68,28.92
2026-04-28T10:01:00Z,78.23,26.20
2026-04-28T10:02:00Z,78.23,21.00
2026-04-28T10:03:00Z,81.96,18.95
2026-04-28T10:04:00Z,81.08,20.42
2026-04-28T10:05:00Z,80.51,22.61
2026-04-28T10:06:00Z,89.44,12.88
2026-04-28T10:07:00Z,93.37,7.80
2026-04-28T10:08:00Z,95.00,6.37
2026-04-28T10:09:00Z,93.00,6.37
2026-04-28T10:10:00Z,96.21,4.10
2026-04-28T10:11:00Z,98.00,3.00
2026-04-28T10:12:00Z,96.70,3.30
2026-04-28T10:13:00Z,96.01,6.00
2026-04-28T10:14:00Z,96.94,2.00
2026-04-28T10:15:00Z,98.96,2.00
2026-04-28T10:16:00Z,99.00,1.00
2026-04-28T10:17:00Z,99.00,1.00
2026-04-28T10:20:00Z,99.00,1.00
