# event_ticker=KXATPCHALLENGERMATCH-26MAY14DZUMUN
# final_score=6-2 7-6(4)
# score_resolution=6-2 7-6
# match_winner=Jaume Munar
# fav_player=Jaume Munar
# dog_player=Damir Dzumhur
# kalshi_date=2026-05-14
timestamp,Damir Dzumhur,Jaume Munar
2026-05-14T02:24:00Z,,71.00
2026-05-14T04:09:00Z,,70.00
2026-05-14T04:16:00Z,,70.00
2026-05-14T04:29:00Z,,70.00
2026-05-14T04:32:00Z,,70.00
2026-05-14T04:37:00Z,31.00,70.00
2026-05-14T04:44:00Z,31.00,69.00
2026-05-14T05:20:00Z,31.00,70.00
2026-05-14T05:26:00Z,31.00,70.00
2026-05-14T05:50:00Z,31.00,69.00
2026-05-14T05:57:00Z,31.00,70.00
2026-05-14T09:14:00Z,32.00,70.00
2026-05-14T10:46:00Z,32.00,69.00
2026-05-14T10:47:00Z,32.00,69.00
2026-05-14T10:52:00Z,32.00,68.00
2026-05-14T10:57:00Z,33.00,68.00
2026-05-14T11:35:00Z,33.00,69.00
2026-05-14T11:36:00Z,33.00,69.00
2026-05-14T11:49:00Z,33.00,69.00
2026-05-14T11:52:00Z,32.00,69.00
2026-05-14T12:13:00Z,32.00,69.00
2026-05-14T12:19:00Z,32.00,69.00
2026-05-14T12:23:00Z,32.00,69.00
2026-05-14T12:43:00Z,32.00,69.00
2026-05-14T12:44:00Z,32.00,69.00
2026-05-14T13:04:00Z,32.00,69.00
2026-05-14T13:07:00Z,32.00,69.00
2026-05-14T13:22:00Z,32.00,69.00
2026-05-14T13:54:00Z,32.00,69.00
2026-05-14T13:55:00Z,32.00,69.00
2026-05-14T14:04:00Z,32.00,69.00
2026-05-14T14:05:00Z,32.55,69.00
2026-05-14T14:07:00Z,32.55,69.00
2026-05-14T14:08:00Z,33.00,67.05
2026-05-14T14:09:00Z,34.00,67.05
2026-05-14T14:10:00Z,33.00,70.92
2026-05-14T14:11:00Z,28.53,75.00
2026-05-14T14:12:00Z,28.53,73.13
2026-05-14T14:13:00Z,23.52,78.00
2026-05-14T14:14:00Z,26.00,75.23
2026-05-14T14:15:00Z,24.00,76.17
2026-05-14T14:16:00Z,25.14,75.50
2026-05-14T14:17:00Z,23.00,76.45
2026-05-14T14:18:00Z,24.00,76.45
2026-05-14T14:19:00Z,21.00,79.00
2026-05-14T14:20:00Z,21.00,79.00
2026-05-14T14:21:00Z,20.00,81.00
2026-05-14T14:22:00Z,17.00,83.00
2026-05-14T14:23:00Z,19.86,80.04
2026-05-14T14:24:00Z,17.61,81.98
2026-05-14T14:25:00Z,18.11,82.00
2026-05-14T14:26:00Z,20.00,80.10
2026-05-14T14:27:00Z,20.00,80.65
2026-05-14T14:28:00Z,17.00,82.86
2026-05-14T14:29:00Z,15.07,85.32
2026-05-14T14:30:00Z,13.50,87.00
2026-05-14T14:31:00Z,12.00,87.00
2026-05-14T14:32:00Z,12.00,88.00
2026-05-14T14:33:00Z,12.00,89.63
2026-05-14T14:34:00Z,10.01,89.37
2026-05-14T14:35:00Z,10.01,90.46
2026-05-14T14:36:00Z,11.00,89.00
2026-05-14T14:37:00Z,9.03,89.01
2026-05-14T14:38:00Z,9.41,89.04
2026-05-14T14:39:00Z,10.92,90.03
2026-05-14T14:40:00Z,10.01,89.74
