# event_ticker=KXATPMATCH-25AUG18NAVSUR
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Mariano Navone
# fav_player=Dhakshineswar Suresh
# dog_player=Mariano Navone
# kalshi_date=2025-08-18
timestamp,Dhakshineswar Suresh,Mariano Navone
2025-08-18T13:52:00Z,,69.00
2025-08-18T14:06:00Z,33.00,69.00
2025-08-18T14:36:00Z,33.00,69.00
2025-08-18T14:49:00Z,33.00,68.00
2025-08-18T16:03:00Z,33.00,68.00
2025-08-18T16:58:00Z,33.00,68.00
2025-08-18T16:59:00Z,33.00,68.00
2025-08-18T17:16:00Z,33.00,68.00
2025-08-18T19:46:00Z,33.00,68.00
2025-08-18T19:52:00Z,33.00,68.00
2025-08-18T19:55:00Z,33.00,68.00
2025-08-18T19:58:00Z,33.00,68.00
2025-08-18T19:59:00Z,33.00,68.00
2025-08-18T20:00:00Z,33.00,68.00
2025-08-18T20:02:00Z,33.00,68.00
2025-08-18T20:04:00Z,34.00,68.00
2025-08-18T20:07:00Z,36.00,68.00
2025-08-18T20:08:00Z,36.00,67.00
2025-08-18T20:09:00Z,43.67,65.00
2025-08-18T20:10:00Z,38.40,65.00
2025-08-18T20:11:00Z,38.40,65.01
2025-08-18T20:12:00Z,35.00,65.00
2025-08-18T20:13:00Z,35.00,65.00
2025-08-18T20:14:00Z,34.88,65.81
2025-08-18T20:15:00Z,36.00,66.71
2025-08-18T20:17:00Z,35.71,67.12
2025-08-18T20:18:00Z,35.71,68.72
2025-08-18T20:19:00Z,30.00,68.72
2025-08-18T20:20:00Z,29.30,67.25
2025-08-18T20:21:00Z,19.72,77.60
2025-08-18T20:22:00Z,19.00,77.60
2025-08-18T20:23:00Z,19.00,81.30
2025-08-18T20:24:00Z,17.50,84.52
2025-08-18T20:26:00Z,17.50,85.81
2025-08-18T20:28:00Z,18.00,84.00
2025-08-18T20:31:00Z,14.00,84.00
2025-08-18T20:33:00Z,11.00,84.00
2025-08-18T20:35:00Z,11.00,86.00
2025-08-18T20:36:00Z,11.00,85.90
2025-08-18T20:37:00Z,13.00,85.90
2025-08-18T20:40:00Z,14.22,85.90
2025-08-18T20:41:00Z,14.22,88.15
2025-08-18T20:44:00Z,14.22,93.00
2025-08-18T20:46:00Z,14.22,93.35
2025-08-18T20:47:00Z,43.00,82.86
2025-08-18T20:48:00Z,43.00,82.86
2025-08-18T20:52:00Z,9.00,82.86
2025-08-18T20:54:00Z,13.26,82.86
2025-08-18T20:56:00Z,10.00,82.86
2025-08-18T20:57:00Z,10.32,82.86
2025-08-18T20:58:00Z,11.00,90.00
2025-08-18T20:59:00Z,11.00,91.49
2025-08-18T21:02:00Z,11.00,93.00
2025-08-18T21:03:00Z,11.00,93.55
2025-08-18T21:04:00Z,11.00,90.00
2025-08-18T21:05:00Z,11.00,88.68
2025-08-18T21:06:00Z,13.00,86.00
2025-08-18T21:09:00Z,11.00,90.00
2025-08-18T21:10:00Z,11.00,92.00
2025-08-18T21:11:00Z,10.15,91.46
2025-08-18T21:12:00Z,4.53,94.28
2025-08-18T21:13:00Z,1.95,96.30
2025-08-18T21:14:00Z,3.00,96.30
2025-08-18T21:15:00Z,3.00,97.34
2025-08-18T21:16:00Z,2.00,99.00
2025-08-18T21:17:00Z,1.00,98.78
2025-08-18T21:18:00Z,1.00,99.00
2025-08-18T21:19:00Z,1.00,99.00
2025-08-18T21:22:00Z,1.40,98.78
2025-08-18T21:23:00Z,4.48,97.61
2025-08-18T21:24:00Z,4.04,98.00
2025-08-18T21:25:00Z,4.00,99.00
2025-08-18T21:26:00Z,1.00,96.01
