# event_ticker=KXATPMATCH-25SEP18BERSVR
# final_score=6-3 6-3
# match_winner=Dalibor Svrcina
# fav_player=Dalibor Svrcina
# dog_player=Matteo Berrettini
# kalshi_date=2025-09-18
timestamp,Dalibor Svrcina,Matteo Berrettini
2025-09-17T21:17:00Z,28.00,
2025-09-17T21:20:00Z,28.00,74.00
2025-09-17T21:33:00Z,28.00,74.00
2025-09-17T21:44:00Z,28.00,72.00
2025-09-17T21:56:00Z,28.00,74.00
2025-09-17T22:21:00Z,28.00,73.00
2025-09-17T22:26:00Z,28.00,73.00
2025-09-17T22:28:00Z,28.00,73.00
2025-09-17T23:25:00Z,28.00,73.00
2025-09-18T00:06:00Z,28.00,73.00
2025-09-18T00:20:00Z,28.00,73.00
2025-09-18T01:48:00Z,29.00,73.00
2025-09-18T01:53:00Z,29.00,73.00
2025-09-18T02:02:00Z,29.00,73.00
2025-09-18T02:29:00Z,29.00,73.00
2025-09-18T02:30:00Z,29.00,73.00
2025-09-18T02:35:00Z,29.00,73.00
2025-09-18T02:36:00Z,29.00,73.00
2025-09-18T02:39:00Z,29.00,73.00
2025-09-18T02:45:00Z,29.00,73.00
2025-09-18T02:50:00Z,29.00,73.00
2025-09-18T02:52:00Z,29.00,73.00
2025-09-18T02:56:00Z,28.24,73.00
2025-09-18T03:02:00Z,28.24,73.00
2025-09-18T03:10:00Z,28.24,73.00
2025-09-18T03:15:00Z,28.24,73.00
2025-09-18T03:28:00Z,28.24,73.00
2025-09-18T03:29:00Z,28.24,73.00
2025-09-18T03:33:00Z,28.24,73.00
2025-09-18T03:47:00Z,29.00,73.00
2025-09-18T03:50:00Z,29.00,73.00
2025-09-18T03:53:00Z,29.00,73.00
2025-09-18T03:56:00Z,29.00,73.00
2025-09-18T04:00:00Z,29.00,73.00
2025-09-18T04:03:00Z,29.00,73.00
2025-09-18T04:10:00Z,29.00,73.00
2025-09-18T04:14:00Z,29.00,73.00
2025-09-18T04:17:00Z,29.00,73.00
2025-09-18T04:23:00Z,29.00,73.00
2025-09-18T04:36:00Z,29.00,73.00
2025-09-18T04:46:00Z,29.00,73.00
2025-09-18T05:04:00Z,29.00,73.00
2025-09-18T05:13:00Z,29.00,73.00
2025-09-18T05:22:00Z,29.00,73.00
2025-09-18T05:31:00Z,29.00,73.00
2025-09-18T05:35:00Z,29.00,73.00
2025-09-18T05:36:00Z,28.00,73.00
2025-09-18T05:37:00Z,28.00,72.50
2025-09-18T05:38:00Z,28.00,73.00
2025-09-18T05:48:00Z,27.00,73.00
2025-09-18T05:53:00Z,28.00,73.00
2025-09-18T06:07:00Z,29.00,73.00
2025-09-18T06:14:00Z,29.00,73.00
2025-09-18T06:21:00Z,29.00,73.00
2025-09-18T06:25:00Z,29.00,73.00
2025-09-18T06:31:00Z,29.00,73.00
2025-09-18T06:35:00Z,29.00,73.00
2025-09-18T06:40:00Z,29.00,73.00
2025-09-18T06:48:00Z,29.00,73.00
2025-09-18T06:50:00Z,29.00,73.00
2025-09-18T06:55:00Z,29.00,73.00
2025-09-18T09:01:00Z,80.73,6.00
