# event_ticker=KXATPCHALLENGERMATCH-26MAY27SAKMAR
# final_score=7-6(2) 2-0 RET
# match_winner=Stefanos Sakellaridis
# fav_player=Stefanos Sakellaridis
# dog_player=Alex Martinez
# kalshi_date=2026-05-27
timestamp,Stefanos Sakellaridis,Alex Martinez
2026-05-27T01:46:00Z,71.00,
2026-05-27T02:04:00Z,71.00,27.00
2026-05-27T03:37:00Z,74.00,27.00
2026-05-27T03:46:00Z,74.00,27.00
2026-05-27T04:06:00Z,74.00,27.00
2026-05-27T05:26:00Z,74.00,27.00
2026-05-27T06:10:00Z,75.13,27.00
2026-05-27T06:20:00Z,75.13,26.00
2026-05-27T06:45:00Z,73.00,26.00
2026-05-27T07:06:00Z,73.00,26.00
2026-05-27T07:36:00Z,75.00,26.00
2026-05-27T07:45:00Z,76.00,26.00
2026-05-27T08:13:00Z,76.00,26.00
2026-05-27T08:36:00Z,76.00,26.00
2026-05-27T08:50:00Z,75.00,26.00
2026-05-27T09:04:00Z,75.00,26.00
2026-05-27T09:37:00Z,75.00,26.00
2026-05-27T09:58:00Z,75.00,26.00
2026-05-27T10:45:00Z,75.00,26.00
2026-05-27T11:05:00Z,75.14,26.00
2026-05-27T11:28:00Z,76.00,26.00
2026-05-27T11:32:00Z,76.00,26.00
2026-05-27T11:34:00Z,76.00,26.00
2026-05-27T11:45:00Z,77.00,26.00
2026-05-27T11:49:00Z,77.00,24.00
2026-05-27T11:50:00Z,73.13,24.00
2026-05-27T11:51:00Z,73.13,25.29
2026-05-27T11:52:00Z,75.50,25.29
2026-05-27T11:54:00Z,77.58,25.29
2026-05-27T11:55:00Z,79.00,25.29
2026-05-27T11:56:00Z,76.11,22.99
2026-05-27T11:57:00Z,73.83,23.86
2026-05-27T11:58:00Z,72.15,24.00
2026-05-27T11:59:00Z,81.09,19.88
2026-05-27T12:00:00Z,83.00,17.00
2026-05-27T12:01:00Z,84.40,17.92
2026-05-27T12:02:00Z,85.00,17.92
2026-05-27T12:03:00Z,86.00,17.92
2026-05-27T12:04:00Z,85.01,14.30
2026-05-27T12:05:00Z,83.90,15.00
2026-05-27T12:06:00Z,82.73,16.00
2026-05-27T12:07:00Z,83.94,18.37
2026-05-27T12:08:00Z,80.19,19.45
2026-05-27T12:09:00Z,72.57,25.29
2026-05-27T12:10:00Z,72.00,29.05
2026-05-27T12:11:00Z,66.71,30.13
2026-05-27T12:12:00Z,65.07,34.94
2026-05-27T12:13:00Z,63.88,35.07
2026-05-27T12:14:00Z,58.79,40.47
2026-05-27T12:15:00Z,59.59,42.34
2026-05-27T12:16:00Z,53.21,46.28
2026-05-27T12:17:00Z,53.20,49.05
2026-05-27T12:18:00Z,50.62,49.05
2026-05-27T12:19:00Z,46.48,54.27
2026-05-27T12:20:00Z,49.58,54.13
2026-05-27T12:21:00Z,40.04,59.87
2026-05-27T12:22:00Z,39.03,60.10
2026-05-27T12:23:00Z,39.11,51.53
2026-05-27T12:24:00Z,40.51,54.55
2026-05-27T12:25:00Z,42.67,58.00
2026-05-27T12:26:00Z,44.43,58.56
2026-05-27T12:27:00Z,42.26,56.63
2026-05-27T12:28:00Z,41.00,60.41
2026-05-27T12:29:00Z,50.22,54.74
2026-05-27T12:30:00Z,46.75,55.45
2026-05-27T12:31:00Z,46.91,52.22
2026-05-27T12:32:00Z,59.63,42.79
2026-05-27T12:33:00Z,56.53,40.22
2026-05-27T12:34:00Z,54.38,44.58
2026-05-27T12:35:00Z,51.93,47.98
2026-05-27T12:36:00Z,45.99,54.70
2026-05-27T12:37:00Z,44.91,55.36
2026-05-27T12:38:00Z,44.27,51.84
2026-05-27T12:39:00Z,45.86,51.56
2026-05-27T12:40:00Z,50.31,50.73
2026-05-27T12:41:00Z,52.83,46.62
2026-05-27T12:42:00Z,52.67,48.54
2026-05-27T12:43:00Z,55.66,45.19
2026-05-27T12:44:00Z,65.69,35.74
2026-05-27T12:45:00Z,65.59,31.75
2026-05-27T12:46:00Z,76.58,21.30
2026-05-27T12:47:00Z,76.25,18.58
2026-05-27T12:48:00Z,83.11,19.92
2026-05-27T12:49:00Z,85.60,13.83
2026-05-27T12:50:00Z,85.66,13.97
2026-05-27T12:51:00Z,87.92,14.90
2026-05-27T12:52:00Z,87.03,13.36
2026-05-27T12:53:00Z,87.82,12.61
2026-05-27T12:54:00Z,87.29,13.00
2026-05-27T12:55:00Z,86.94,13.04
2026-05-27T12:56:00Z,87.00,13.98
2026-05-27T12:57:00Z,87.29,13.86
2026-05-27T12:58:00Z,86.96,12.80
2026-05-27T12:59:00Z,86.44,11.16
2026-05-27T13:00:00Z,81.81,12.25
2026-05-27T13:01:00Z,88.42,11.04
2026-05-27T13:02:00Z,85.33,14.43
2026-05-27T13:03:00Z,92.59,6.91
2026-05-27T13:04:00Z,93.32,7.85
2026-05-27T13:05:00Z,92.96,7.69
2026-05-27T13:06:00Z,93.77,6.71
2026-05-27T13:07:00Z,95.98,3.00
2026-05-27T13:08:00Z,99.00,1.00
2026-05-27T13:09:00Z,99.00,1.00
2026-05-27T13:10:00Z,99.00,1.00
2026-05-27T13:12:00Z,99.00,1.00
