# event_ticker=KXATPCHALLENGERMATCH-26FEB11STRDOS
# final_score=6-3 6-3
# match_winner=Stefan Dostanic
# fav_player=Stefan Dostanic
# dog_player=Robert Strombachs
# kalshi_date=2026-02-11
timestamp,Stefan Dostanic,Robert Strombachs
2026-02-11T09:31:00Z,81.00,
2026-02-11T10:42:00Z,77.00,26.00
2026-02-11T10:44:00Z,77.00,26.00
2026-02-11T10:59:00Z,77.00,27.00
2026-02-11T11:35:00Z,78.00,26.00
2026-02-11T11:36:00Z,78.93,26.00
2026-02-11T12:35:00Z,79.00,26.00
2026-02-11T12:55:00Z,80.00,26.00
2026-02-11T13:33:00Z,80.00,23.00
2026-02-11T14:06:00Z,80.00,23.00
2026-02-11T14:13:00Z,77.00,23.00
2026-02-11T14:30:00Z,77.00,23.79
2026-02-11T14:49:00Z,77.00,23.79
2026-02-11T14:50:00Z,77.00,23.79
2026-02-11T14:57:00Z,77.00,24.00
2026-02-11T14:59:00Z,77.00,24.00
2026-02-11T15:05:00Z,77.00,24.00
2026-02-11T15:06:00Z,77.00,24.00
2026-02-11T15:15:00Z,77.00,24.00
2026-02-11T15:23:00Z,77.00,24.00
2026-02-11T15:32:00Z,77.00,24.00
2026-02-11T15:34:00Z,77.00,24.00
2026-02-11T15:43:00Z,78.00,24.00
2026-02-11T15:54:00Z,78.00,22.03
2026-02-11T15:58:00Z,78.84,22.03
2026-02-11T16:03:00Z,79.00,22.03
2026-02-11T16:09:00Z,79.00,23.00
2026-02-11T16:10:00Z,79.00,22.65
2026-02-11T16:13:00Z,79.00,22.65
2026-02-11T16:16:00Z,79.00,22.65
2026-02-11T16:18:00Z,79.00,23.00
2026-02-11T16:31:00Z,79.00,23.97
2026-02-11T16:35:00Z,79.00,24.00
2026-02-11T16:38:00Z,78.00,24.00
2026-02-11T16:39:00Z,78.00,25.00
2026-02-11T16:57:00Z,78.00,25.00
2026-02-11T17:07:00Z,78.00,25.78
2026-02-11T17:10:00Z,78.00,26.00
2026-02-11T17:12:00Z,77.00,26.00
2026-02-11T17:14:00Z,77.00,25.90
2026-02-11T17:17:00Z,78.00,25.90
2026-02-11T17:18:00Z,77.00,25.90
2026-02-11T17:19:00Z,77.27,25.99
2026-02-11T17:24:00Z,77.00,25.99
2026-02-11T17:25:00Z,77.00,25.86
2026-02-11T17:35:00Z,77.94,25.86
2026-02-11T17:36:00Z,77.94,25.92
2026-02-11T17:37:00Z,77.00,26.00
2026-02-11T17:38:00Z,78.00,26.00
2026-02-11T17:39:00Z,78.00,26.00
2026-02-11T17:40:00Z,78.00,26.00
2026-02-11T17:41:00Z,79.00,24.99
2026-02-11T17:42:00Z,79.00,22.00
2026-02-11T17:43:00Z,79.00,21.53
2026-02-11T17:44:00Z,78.76,24.03
2026-02-11T17:45:00Z,78.76,28.57
2026-02-11T17:46:00Z,77.46,25.22
2026-02-11T17:47:00Z,77.46,23.00
2026-02-11T17:48:00Z,77.46,22.00
2026-02-11T17:49:00Z,80.00,20.00
2026-02-11T17:50:00Z,84.96,16.44
2026-02-11T17:51:00Z,84.00,15.70
2026-02-11T17:52:00Z,80.33,21.00
2026-02-11T17:53:00Z,77.18,25.60
2026-02-11T17:54:00Z,79.00,22.68
2026-02-11T17:55:00Z,81.00,22.00
2026-02-11T17:56:00Z,80.00,22.00
2026-02-11T17:57:00Z,80.50,23.33
2026-02-11T17:58:00Z,81.00,19.89
2026-02-11T17:59:00Z,83.51,19.05
2026-02-11T18:00:00Z,88.49,14.07
2026-02-11T18:01:00Z,89.67,12.19
2026-02-11T18:02:00Z,84.00,16.68
2026-02-11T18:03:00Z,84.81,18.01
2026-02-11T18:04:00Z,82.00,17.61
2026-02-11T18:05:00Z,79.51,23.00
2026-02-11T18:06:00Z,78.00,24.24
2026-02-11T18:07:00Z,80.87,19.00
2026-02-11T18:08:00Z,88.62,14.55
2026-02-11T18:09:00Z,89.99,9.73
2026-02-11T18:10:00Z,94.00,7.80
2026-02-11T18:11:00Z,94.00,7.00
2026-02-11T18:12:00Z,95.00,7.46
2026-02-11T18:13:00Z,94.00,8.08
2026-02-11T18:14:00Z,92.00,9.52
2026-02-11T18:15:00Z,92.42,9.00
2026-02-11T18:16:00Z,88.71,12.83
2026-02-11T18:17:00Z,91.44,8.84
2026-02-11T18:18:00Z,93.63,6.91
2026-02-11T18:19:00Z,95.26,6.67
2026-02-11T18:20:00Z,92.17,9.59
2026-02-11T18:21:00Z,92.17,10.74
2026-02-11T18:22:00Z,90.44,11.08
2026-02-11T18:23:00Z,92.09,10.28
2026-02-11T18:24:00Z,91.27,10.28
2026-02-11T18:25:00Z,95.50,7.50
2026-02-11T18:26:00Z,96.93,3.26
2026-02-11T18:27:00Z,96.00,4.00
2026-02-11T18:28:00Z,96.95,3.97
2026-02-11T18:29:00Z,95.22,5.69
2026-02-11T18:30:00Z,95.12,4.62
2026-02-11T18:31:00Z,94.96,7.55
2026-02-11T18:32:00Z,92.84,9.81
2026-02-11T18:33:00Z,94.92,7.56
2026-02-11T18:34:00Z,91.94,10.23
2026-02-11T18:35:00Z,92.47,8.36
2026-02-11T18:36:00Z,97.02,2.79
2026-02-11T18:37:00Z,97.02,4.01
2026-02-11T18:38:00Z,97.20,4.01
2026-02-11T18:39:00Z,94.38,5.90
2026-02-11T18:40:00Z,96.30,3.32
2026-02-11T18:41:00Z,95.08,4.96
2026-02-11T18:42:00Z,96.67,3.61
2026-02-11T18:43:00Z,98.11,1.88
2026-02-11T18:44:00Z,98.38,2.40
2026-02-11T18:45:00Z,99.00,2.40
2026-02-11T18:46:00Z,99.00,2.40
