# event_ticker=KXATPCHALLENGERMATCH-26JUN03ROYCEC
# final_score=6-3 3-0 RET
# match_winner=Marco Cecchinato
# fav_player=Marco Cecchinato
# dog_player=Valentin Royer
# kalshi_date=2026-06-03
timestamp,Valentin Royer,Marco Cecchinato
2026-06-03T01:30:00Z,67.00,
2026-06-03T02:36:00Z,67.00,
2026-06-03T03:11:00Z,67.00,35.00
2026-06-03T03:13:00Z,65.00,35.00
2026-06-03T03:15:00Z,65.00,35.00
2026-06-03T03:27:00Z,67.00,35.00
2026-06-03T03:37:00Z,67.00,35.00
2026-06-03T03:51:00Z,67.00,35.00
2026-06-03T04:05:00Z,66.00,35.00
2026-06-03T04:13:00Z,66.00,35.00
2026-06-03T04:17:00Z,66.00,35.00
2026-06-03T04:34:00Z,66.00,35.00
2026-06-03T04:40:00Z,66.74,35.00
2026-06-03T04:46:00Z,67.00,35.00
2026-06-03T04:49:00Z,67.00,35.00
2026-06-03T04:51:00Z,67.00,35.00
2026-06-03T05:00:00Z,67.00,35.00
2026-06-03T05:03:00Z,67.00,35.00
2026-06-03T05:18:00Z,67.06,35.00
2026-06-03T05:20:00Z,67.00,35.00
2026-06-03T05:32:00Z,67.00,35.00
2026-06-03T06:03:00Z,68.00,35.00
2026-06-03T06:04:00Z,68.00,35.00
2026-06-03T06:05:00Z,68.00,35.00
2026-06-03T06:09:00Z,68.00,35.00
2026-06-03T06:44:00Z,68.00,35.00
2026-06-03T07:22:00Z,68.00,35.00
2026-06-03T07:36:00Z,67.00,35.00
2026-06-03T07:52:00Z,67.00,35.00
2026-06-03T07:54:00Z,67.00,35.00
2026-06-03T07:58:00Z,67.00,35.00
2026-06-03T08:21:00Z,67.32,35.00
2026-06-03T08:51:00Z,68.00,35.00
2026-06-03T08:57:00Z,68.00,35.00
2026-06-03T09:07:00Z,68.00,35.00
2026-06-03T09:23:00Z,68.00,35.00
2026-06-03T09:31:00Z,68.00,35.00
2026-06-03T09:42:00Z,68.00,35.00
2026-06-03T09:44:00Z,68.00,35.00
2026-06-03T10:00:00Z,68.00,35.00
2026-06-03T10:01:00Z,68.00,34.00
2026-06-03T10:03:00Z,68.00,34.85
2026-06-03T10:05:00Z,68.00,34.00
2026-06-03T10:15:00Z,68.00,34.00
2026-06-03T10:19:00Z,68.00,34.00
2026-06-03T10:20:00Z,68.00,34.00
2026-06-03T10:22:00Z,67.00,34.00
2026-06-03T11:01:00Z,67.00,33.00
2026-06-03T11:02:00Z,67.00,31.00
2026-06-03T11:04:00Z,68.00,33.93
2026-06-03T11:05:00Z,68.00,35.00
2026-06-03T11:08:00Z,67.00,35.00
2026-06-03T11:09:00Z,68.00,33.00
2026-06-03T11:10:00Z,71.57,28.98
2026-06-03T11:11:00Z,77.18,24.67
2026-06-03T11:12:00Z,77.18,20.99
2026-06-03T11:13:00Z,82.00,19.00
2026-06-03T11:14:00Z,79.00,20.00
2026-06-03T11:15:00Z,74.97,24.57
2026-06-03T11:16:00Z,76.82,24.27
2026-06-03T11:17:00Z,72.93,30.49
2026-06-03T11:18:00Z,70.89,33.54
2026-06-03T11:19:00Z,72.24,27.00
2026-06-03T11:20:00Z,72.00,32.50
2026-06-03T11:21:00Z,69.32,32.26
2026-06-03T11:22:00Z,64.00,35.00
2026-06-03T11:23:00Z,64.00,37.00
2026-06-03T11:24:00Z,61.13,37.06
2026-06-03T11:25:00Z,63.21,37.52
2026-06-03T11:26:00Z,65.06,36.07
2026-06-03T11:27:00Z,60.70,42.37
2026-06-03T11:28:00Z,50.80,49.80
2026-06-03T11:29:00Z,43.01,55.99
2026-06-03T11:30:00Z,41.15,59.13
2026-06-03T11:31:00Z,42.57,58.28
2026-06-03T11:32:00Z,42.00,59.00
2026-06-03T11:33:00Z,40.00,60.01
2026-06-03T11:34:00Z,41.94,58.99
2026-06-03T11:35:00Z,43.77,55.34
2026-06-03T11:36:00Z,45.27,56.00
2026-06-03T11:37:00Z,53.28,47.00
2026-06-03T11:38:00Z,58.30,42.77
2026-06-03T11:39:00Z,53.99,46.78
2026-06-03T11:40:00Z,44.19,55.12
2026-06-03T11:41:00Z,41.15,59.00
2026-06-03T11:42:00Z,41.81,59.00
2026-06-03T11:43:00Z,40.50,60.00
2026-06-03T11:44:00Z,42.45,60.85
2026-06-03T11:45:00Z,44.30,56.76
2026-06-03T11:46:00Z,46.60,52.94
2026-06-03T11:47:00Z,42.25,58.20
2026-06-03T11:48:00Z,39.99,61.53
2026-06-03T11:49:00Z,40.00,61.56
2026-06-03T11:50:00Z,39.30,62.00
2026-06-03T11:51:00Z,39.00,62.00
2026-06-03T11:52:00Z,39.00,61.44
2026-06-03T11:53:00Z,39.00,62.01
2026-06-03T11:54:00Z,37.14,64.59
2026-06-03T11:55:00Z,27.48,70.48
2026-06-03T11:56:00Z,20.02,80.71
2026-06-03T11:57:00Z,24.37,77.80
2026-06-03T11:58:00Z,19.03,80.25
2026-06-03T11:59:00Z,15.12,84.50
2026-06-03T12:00:00Z,15.05,85.89
2026-06-03T12:01:00Z,10.71,88.61
2026-06-03T12:02:00Z,5.33,95.26
2026-06-03T12:03:00Z,3.46,95.85
2026-06-03T12:04:00Z,2.56,96.18
2026-06-03T12:05:00Z,5.56,96.26
2026-06-03T12:06:00Z,6.00,96.33
2026-06-03T12:07:00Z,4.67,96.00
2026-06-03T12:08:00Z,6.15,95.32
2026-06-03T12:09:00Z,6.84,94.88
2026-06-03T12:10:00Z,3.46,95.73
2026-06-03T12:11:00Z,1.67,98.56
2026-06-03T12:12:00Z,1.67,99.00
