# event_ticker=KXATPCHALLENGERMATCH-26MAY14TORTOB
# final_score=6-7(4) 6-4 6-1
# score_resolution=7-6 4-6 1-6
# match_winner=Juan Bautista Torres
# fav_player=Miguel Tobon
# dog_player=Juan Bautista Torres
# kalshi_date=2026-05-14
timestamp,Juan Bautista Torres,Miguel Tobon
2026-05-14T05:56:00Z,68.73,
2026-05-14T06:30:00Z,69.00,
2026-05-14T06:48:00Z,69.00,
2026-05-14T10:30:00Z,69.00,32.00
2026-05-14T10:31:00Z,68.00,32.00
2026-05-14T10:47:00Z,68.00,32.00
2026-05-14T11:12:00Z,68.00,32.00
2026-05-14T11:21:00Z,68.00,32.00
2026-05-14T11:34:00Z,68.00,32.00
2026-05-14T11:40:00Z,68.00,32.00
2026-05-14T13:02:00Z,69.00,32.00
2026-05-14T13:54:00Z,69.00,32.00
2026-05-14T14:03:00Z,69.00,32.00
2026-05-14T14:11:00Z,69.00,32.00
2026-05-14T14:39:00Z,69.00,32.00
2026-05-14T14:56:00Z,68.00,32.00
2026-05-14T15:10:00Z,69.00,32.00
2026-05-14T15:25:00Z,69.00,32.00
2026-05-14T15:31:00Z,69.00,32.00
2026-05-14T15:33:00Z,69.00,32.00
2026-05-14T15:34:00Z,69.00,32.00
2026-05-14T15:54:00Z,69.00,32.00
2026-05-14T16:01:00Z,69.00,32.00
2026-05-14T16:02:00Z,69.98,32.00
2026-05-14T16:04:00Z,69.95,32.00
2026-05-14T16:10:00Z,70.00,32.00
2026-05-14T16:27:00Z,70.00,31.00
2026-05-14T16:28:00Z,70.00,31.00
2026-05-14T16:47:00Z,70.00,32.92
2026-05-14T16:48:00Z,70.00,32.00
2026-05-14T16:51:00Z,70.00,32.00
2026-05-14T16:54:00Z,70.00,32.00
2026-05-14T16:56:00Z,70.00,32.00
2026-05-14T16:57:00Z,70.00,32.97
2026-05-14T17:08:00Z,70.00,32.91
2026-05-14T17:09:00Z,70.00,32.95
2026-05-14T17:10:00Z,70.88,32.95
2026-05-14T17:11:00Z,71.00,32.95
2026-05-14T17:12:00Z,71.00,30.00
2026-05-14T17:13:00Z,68.09,32.95
2026-05-14T17:14:00Z,68.11,32.75
2026-05-14T17:15:00Z,66.09,33.93
2026-05-14T17:16:00Z,67.10,35.00
2026-05-14T17:17:00Z,67.17,33.00
2026-05-14T17:18:00Z,67.46,33.00
